SERVO, LENGTH, WIDTH, HEIGHT, TAB_LENGTH, TAB_WIDTH, TAB_THICKNESS, TAB_HEIGHT, MOUNTING_HOLE_OFFSET, MOUNTING_HOLE_DIAMETER, BEARING_CASE_DIAMETER, BEARING_CASE_HEIGHT, GEAR_CASE_DIAMETER, SPLINE_OUTER_DIAMETER, SPLINE_HEIGHT, SPLINE_TEETH, SPLINE_SCREW_DIAMETER, WIRE_THICKNESS, WIRE_OFFSET
9180MG,23.5,12,21,32.5,11,1.7,16.5,1.2,2,12,3.8,6,3.8,3.2,25,2,1,0
MG90S,22.5,12,22.5,32.5,12,2.5,18,1.2,2,12,6.0,6.0,4.8,4.1,20,2.5,1.2,4
